# Log file created with: 'geigerlog_simple_500plus.py', Version: 0.1 (code °µ°)
# Python Version: 2.7.12 (default, Dec  4 2017, 14:50:18) [GCC 5.4.0 20160609]
# DateTime,          CPS, CPM, CPM1st, CPM2nd
2018-07-16 09:08:24, 0, 25, 25, 25
2018-07-16 09:08:25, 0, 25, 25, 25
2018-07-16 09:08:26, 1, 26, 26, 26
2018-07-16 09:08:27, 0, 26, 26, 26
2018-07-16 09:08:28, 0, 26, 26, 26
2018-07-16 09:08:29, 1, 26, 26, 26
2018-07-16 09:08:30, 0, 26, 26, 26
2018-07-16 09:08:31, 1, 26, 26, 26
2018-07-16 09:08:32, 0, 25, 25, 25
2018-07-16 09:08:33, 0, 24, 24, 24
2018-07-16 09:08:34, 0, 24, 24, 24
2018-07-16 09:08:35, 0, 23, 23, 23
2018-07-16 09:08:36, 0, 23, 23, 23
2018-07-16 09:08:37, 0, 23, 23, 23
2018-07-16 09:08:38, 1, 22, 22, 22
2018-07-16 09:08:39, 0, 22, 22, 22
2018-07-16 09:08:40, 0, 19, 19, 19
2018-07-16 09:08:41, 0, 19, 19, 19
2018-07-16 09:08:42, 0, 18, 18, 18
2018-07-16 09:08:43, 0, 18, 18, 18
2018-07-16 09:08:44, 0, 18, 18, 18
2018-07-16 09:08:45, 0, 18, 18, 18
2018-07-16 09:08:46, 0, 18, 18, 18
2018-07-16 09:08:47, 0, 16, 16, 16
2018-07-16 09:08:48, 0, 16, 16, 16
2018-07-16 09:08:49, 0, 15, 15, 15
2018-07-16 09:08:50, 0, 14, 14, 14
2018-07-16 09:08:51, 0, 14, 14, 14
2018-07-16 09:08:52, 0, 14, 14, 14
2018-07-16 09:08:53, 0, 14, 14, 14
2018-07-16 09:08:55, 0, 13, 13, 13
2018-07-16 09:08:56, 0, 13, 13, 13
2018-07-16 09:08:57, 0, 13, 13, 13
2018-07-16 09:08:58, 2, 15, 15, 15
2018-07-16 09:08:59, 0, 15, 15, 15
2018-07-16 09:09:00, 1, 16, 16, 16
2018-07-16 09:09:01, 1, 17, 17, 17
2018-07-16 09:09:02, 0, 16, 16, 16
2018-07-16 09:09:03, 0, 16, 16, 16
2018-07-16 09:09:04, 1, 17, 17, 17
2018-07-16 09:09:05, 0, 17, 17, 17
2018-07-16 09:09:06, 2, 19, 19, 19
2018-07-16 09:09:07, 0, 17, 17, 17
2018-07-16 09:09:08, 1, 18, 18, 18
2018-07-16 09:09:09, 0, 17, 17, 17
2018-07-16 09:09:10, 1, 18, 18, 18
2018-07-16 09:09:11, 1, 19, 19, 19
2018-07-16 09:09:12, 1, 20, 20, 20
2018-07-16 09:09:13, 0, 20, 20, 20
2018-07-16 09:09:14, 0, 20, 20, 20
2018-07-16 09:09:15, 1, 21, 21, 21
2018-07-16 09:09:16, 0, 21, 21, 21
2018-07-16 09:09:17, 1, 22, 22, 22
2018-07-16 09:09:18, 0, 19, 19, 19
2018-07-16 09:09:19, 0, 19, 19, 19
2018-07-16 09:09:20, 0, 18, 18, 18
2018-07-16 09:09:21, 0, 18, 18, 18
2018-07-16 09:09:22, 2, 20, 20, 20
2018-07-16 09:09:23, 0, 19, 19, 19
2018-07-16 09:09:24, 0, 19, 19, 19
2018-07-16 09:09:25, 1, 20, 20, 20
2018-07-16 09:09:26, 0, 19, 19, 19
2018-07-16 09:09:28, 0, 19, 19, 19
2018-07-16 09:09:29, 0, 19, 19, 19
2018-07-16 09:09:30, 1, 19, 19, 19
2018-07-16 09:09:31, 1, 20, 20, 20
2018-07-16 09:09:32, 0, 19, 19, 19
2018-07-16 09:09:33, 0, 19, 19, 19
2018-07-16 09:09:34, 0, 19, 19, 19
2018-07-16 09:09:35, 0, 19, 19, 19
2018-07-16 09:09:36, 1, 20, 20, 20
2018-07-16 09:09:37, 0, 20, 20, 20
2018-07-16 09:09:38, 0, 20, 20, 20
2018-07-16 09:09:39, 0, 19, 19, 19
2018-07-16 09:09:40, 0, 19, 19, 19
2018-07-16 09:09:41, 0, 19, 19, 19
2018-07-16 09:09:42, 0, 19, 19, 19
2018-07-16 09:09:43, 0, 19, 19, 19
2018-07-16 09:09:44, 0, 19, 19, 19
2018-07-16 09:09:45, 0, 19, 19, 19
2018-07-16 09:09:46, 0, 19, 19, 19
2018-07-16 09:09:47, 1, 20, 20, 20
2018-07-16 09:09:48, 0, 20, 20, 20
2018-07-16 09:09:49, 1, 21, 21, 21
2018-07-16 09:09:50, 0, 21, 21, 21
2018-07-16 09:09:51, 0, 21, 21, 21
2018-07-16 09:09:52, 0, 21, 21, 22
2018-07-16 09:09:53, 0, 22, 22, 22
2018-07-16 09:09:54, 0, 22, 22, 22
2018-07-16 09:09:56, 1, 23, 23, 23
2018-07-16 09:09:57, 1, 24, 24, 24
2018-07-16 09:09:58, 0, 24, 24, 24
2018-07-16 09:09:59, 0, 22, 22, 22
2018-07-16 09:10:00, 1, 23, 23, 23
2018-07-16 09:10:01, 0, 22, 22, 22
2018-07-16 09:10:02, 0, 21, 21, 21
2018-07-16 09:10:03, 0, 21, 21, 21
2018-07-16 09:10:04, 0, 21, 21, 21
2018-07-16 09:10:05, 1, 21, 21, 21
# bytes missing, got 0 bytes, expected 2! Is USB-Port and Baudrate customized? (see Quickstart)
2018-07-16 09:10:06, 1, 0, 21, 21
2018-07-16 09:10:08, 0, 21, 21, 21
2018-07-16 09:10:09, 0, 20, 20, 20
2018-07-16 09:10:10, 0, 20, 20, 20
